Lat,Lon,inches
27.3515,-81.43,0.06
27.3381,-81.3954,0.05
27.3246,-81.3609,0.02
27.3112,-81.3264,0.04
27.2978,-81.2919,0.06
27.2843,-81.2574,0.06
27.2708,-81.2229,0.04
27.2573,-81.1885,0.05
27.2438,-81.1541,0.04
27.2302,-81.1196,0.04
27.2167,-81.0852,0.03
27.2031,-81.0509,0.02
27.1895,-81.0165,0.02
27.1759,-80.9822,0.01
27.1623,-80.9479,0.01
27.1487,-80.9136,0.02
27.135,-80.8793,0.02
27.1214,-80.845,0.01
27.1077,-80.8108,0.02
27.094,-80.7765,0.01
27.0803,-80.7423,0
27.0666,-80.7081,0
27.0528,-80.674,0
27.039,-80.6398,0
27.0253,-80.6057,0
27.0115,-80.5715,0
27.5022,-81.7269,0
27.4889,-81.6922,0.01
27.4756,-81.6575,0.01
27.4623,-81.6227,0.01
27.449,-81.5881,0.01
27.4357,-81.5534,0
27.4223,-81.5188,0.01
27.4089,-81.4841,0.01
27.3956,-81.4495,0.01
27.3822,-81.4149,0.01
27.3688,-81.3803,0.03
27.3553,-81.3458,0.02
27.3419,-81.3112,0.1
27.3284,-81.2767,0.07
27.3149,-81.2422,0.13
27.3014,-81.2077,0.07
27.2879,-81.1733,0.05
27.2744,-81.1388,0.04
27.2608,-81.1044,0.02
27.2473,-81.07,0.04
27.2337,-81.0356,0.01
27.2201,-81.0012,0.03
27.2065,-80.9669,0.01
27.1929,-80.9325,0.01
27.1792,-80.8982,0
27.1655,-80.8639,0
27.1519,-80.8296,0
27.1382,-80.7954,0.01
27.1245,-80.7611,0.02
27.1107,-80.7269,0.01
27.097,-80.6927,0.01
27.0832,-80.6585,0
27.0695,-80.6243,0.01
27.0419,-80.556,0
27.028,-80.5219,0
27.5197,-81.6772,0
27.5064,-81.6425,0.01
27.4931,-81.6077,0.02
27.4798,-81.573,0.01
27.4664,-81.5384,0.01
27.4531,-81.5037,0.01
27.4397,-81.469,0
27.4263,-81.4344,0
27.3995,-81.3652,0.01
27.386,-81.3306,0.01
27.3725,-81.2961,0.01
27.3591,-81.2616,0.02
27.3456,-81.227,0.06
27.3321,-81.1925,0.1
27.3185,-81.1581,0.07
27.305,-81.1236,0.03
27.2914,-81.0891,0.06
27.2779,-81.0547,0.03
27.2643,-81.0203,0.04
27.2507,-80.9859,0.04
27.237,-80.9515,0.03
27.2234,-80.9172,0
27.1961,-80.8485,0
27.1824,-80.8142,0
27.1687,-80.78,0.01
27.1549,-80.7457,0.01
27.1412,-80.7115,0
27.1137,-80.643,0
27.0999,-80.6088,0
27.0723,-80.5405,0
27.0168,-80.4041,0
27.5372,-81.6275,0
27.5239,-81.5927,0
27.5106,-81.558,0.01
27.4972,-81.5233,0.01
27.4838,-81.4886,0.02
27.4704,-81.454,0.01
27.457,-81.4193,0.01
27.4436,-81.3847,0.01
27.4302,-81.3501,0.02
27.4167,-81.3155,0.01
27.4032,-81.2809,0.02
27.3897,-81.2464,0
27.3762,-81.2118,0.04
27.3627,-81.1773,0.05
27.3492,-81.1428,0.05
27.3356,-81.1083,0.02
27.322,-81.0739,0.04
